Jan 13		se hizo una version del menu con botones (con dimensiones a machete)
Jan 17		se modificó el menú para que dependiese de las dimensiones de la pantalla y colocase centrado el texto
Jan 17		se creó el juego base (con surface view) que dibujaba las animaciones, se seleccionaron los sprites de libre distribucion *ejem* a emplear
Jan 17		se pulió la animación de puñetazo de jotaro para que se mostrase correctamente
Jan 18		modularización del juego, implementación del lector de rotacion y onTouchEvent, ahora las animaciones producen ataques epilépticos
Jan 19		correción del control temporal del juego, ahora las imágenes se reproducen adecuadamente y el personaje principal reacciona a eventos producidos por el usuario
Jan 19		se creó el changelog
Jan 23		recorte de varias animaciones
Jan 30		añadida la funcionalidad básica de detección de hits y una pista de música
Jan 31		añadida una cuenta atras en el combate, así como las barras de vida de los personajes, que actualizan su valor cuando son golpeados
Feb 1		el juego termina el hilo de dibujar cuando la vida de algún personaje llega a 0 (es decir, la escena tiene ahora condición de salida)
Feb 2		se ha añadido una fuente no nativa para mostrar en pantalla el daño que hace cada personaje cuando golpea
Feb 6		se ha añadido el multitouch que gestiona el fling, se han añadido mas animaciones, ahora el personaje si recibe daño cambia de animacion para demostrar que recibe un golpe
Feb 8		se ha creado una clase que gestiona los gestos simples y dobles al tocar la pantalla, corrigiéndose un bug de la versión anterior (ahora se diferencian claramente el fling del tap)
Feb 10		se ha creado un enumerado y se han hecho cambios en el codigo para que sea más fácil leer el código al establecer la animación de un personaje
Feb 13		ahora se gestiona perfectamente los flings (antes se gestionaban las velocidades, ahora los parametros x e y de los motionevent1 y motionevent2). Se ha eliminado al personaje jotaro y se ha introducido a Ryu. Al crear los sprites del personaje estos se voltean dependiento de si el personaje pertenece al jugador o a la CPU.
Feb 13		mejor modularización de la gestión de las físicas de los movimientos, antes actualizaban su valor dentro del sensorChanged del giroscopio, ahora lo actualizan propiamente los personajes
Feb 14		ahora el personaje mantiene la posicion de estar bloqueando al mantener el giroscopio en esa posicion. Se ha creado la clase base proyectil, en el long press se hace la animacion de lanzar el proyectil. Se han corregido animaciones que estaban bug, asi como el arreglo de la correcta posición de algunas hitboxes tras desplazar al personaje.
Feb 15		se añaden sfx a algunos movimientos, se añaden strings al xml, se crea una clase fondo que compacta un bitmap+musica, se crearon constantes booleanas para determinar si se usa musica o sfx
Feb 15		primeros inicios de la IA. El proyectil base está casi terminado.
Feb 16		mejor fragmentación de la toma de decisión de la IA.
Feb 17		se logra cambiar de escena del juego al pulsar botones. Al pulsar un boton pasa a la escena de juego y al terminar esta vuelve al menu.
